time,x,y,ignited,willignite,simtime,ignitionTime,sigma,spreadDir,rateOfSpread
2025-07-01 10:33:05,470715,5087040,0,1,185.862,192.966,7.10462,26,0.0579394
2025-07-01 10:33:05,470710,5087050,0,1,185.862,381.61,195.748,26,0.0571159
2025-07-01 10:33:05,470700,5087050,0,1,185.862,1053.35,867.485,333,0.0128882
2025-07-01 10:33:05,470700,5087030,1,0,185.862,inf,inf,0,0
2025-07-01 10:33:12,470710,5087030,1,0,192.966,inf,inf,0,0
2025-07-01 10:33:12,470705,5087040,1,1,192.966,185.862,inf,333,0.0601541
2025-07-01 10:33:12,470720,5087030,1,0,192.966,inf,inf,0,0
2025-07-01 10:33:12,470715,5087040,1,1,192.966,192.966,0,26,0.0579394
2025-07-01 10:33:12,470710,5087050,0,1,192.966,381.61,188.644,26,0.0571159
2025-07-01 10:33:12,470725,5087040,0,1,192.966,197.216,4.25029,26,0.0566907
2025-07-01 10:33:12,470710,5087030,1,0,192.966,inf,inf,0,0
2025-07-01 10:33:12,470705,5087040,1,1,192.966,185.862,inf,333,0.0601541
2025-07-01 10:33:12,470720,5087030,1,0,192.966,inf,inf,0,0
2025-07-01 10:33:12,470720,5087050,0,1,192.966,388.536,195.57,26,0.0571679
2025-07-01 10:33:12,470715,5087040,1,1,192.966,192.966,inf,26,0.0579394
2025-07-01 10:33:12,470710,5087050,0,1,192.966,381.61,188.644,26,0.0571159
2025-07-01 10:33:12,470725,5087040,0,1,192.966,197.216,4.25029,26,0.0566907
2025-07-01 10:33:13,470720,5087010,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470720,5087030,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470725,5087020,1,1,193.159,193.159,0,26,0.0578816
2025-07-01 10:33:13,470715,5087020,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470730,5087010,0,1,193.159,795.305,602.146,90,0.0125738
2025-07-01 10:33:13,470730,5087030,0,1,193.159,795.359,602.2,90,0.0125729
2025-07-01 10:33:13,470720,5087010,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470720,5087030,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470725,5087020,1,1,193.159,193.159,inf,26,0.0578816
2025-07-01 10:33:13,470715,5087020,1,0,193.159,inf,inf,0,0
2025-07-01 10:33:13,470735,5087020,0,1,193.159,988.775,795.616,90,0.0125689
2025-07-01 10:33:13,470730,5087010,0,1,193.159,795.305,602.146,90,0.0125738
2025-07-01 10:33:13,470730,5087030,0,1,193.159,392.073,198.915,26,0.0562067
2025-07-01 10:33:13,470720,5087010,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470715,5087000,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470720,5086990,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470725,5087000,1,1,193.825,193.825,0,26,0.0576825
2025-07-01 10:33:13,470730,5087010,0,1,193.825,795.305,601.479,90,0.0125738
2025-07-01 10:33:13,470730,5086990,0,1,193.825,793.391,599.565,90,0.0126041
2025-07-01 10:33:13,470720,5087010,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470715,5087000,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470720,5086990,1,0,193.825,inf,inf,0,0
2025-07-01 10:33:13,470735,5087000,0,1,193.825,989.002,795.176,90,0.0125758
2025-07-01 10:33:13,470725,5087000,1,1,193.825,193.825,inf,26,0.0576825
2025-07-01 10:33:13,470730,5087010,0,1,193.825,393.125,199.3,26,0.0560982
2025-07-01 10:33:13,470730,5086990,0,1,193.825,793.391,599.565,90,0.0126041
2025-07-01 10:33:17,470720,5087030,1,0,197.216,inf,inf,0,0
2025-07-01 10:33:17,470720,5087050,0,1,197.216,388.536,191.32,26,0.0571679
